Market Name ,Market Key,Market Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
164,164,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
165,165,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
166,166,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
168,168,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
172,172,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
173,173,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
174,174,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
176,176,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
177,177,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
179,179,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
180,180,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
181,181,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
182,182,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
183,183,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
184,184,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
185,185,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
188,188,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
195,195,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
197,197,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
198,198,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
199,199,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
1001,1001,Zip Code,"54,304","55,243","55,936",0,"55,463","55,161","57,517","62,731","67,408","61,561","62,528",
1002,1002,Zip Code,"54,176","53,394","56,914",0,"52,702","53,301","58,291","51,356","58,865","57,860","53,097",
1003,1003,Zip Code,"27,500","37,500","40,000",0,"42,500","37,763","45,625","49,063","46,786","14,999","14,999",
1005,1005,Zip Code,"60,895","62,868","64,286",0,"62,675","62,375","72,588","70,406","78,776","73,800","72,305",
1007,1007,Zip Code,"61,066","62,122","63,951",0,"66,355","66,255","74,616","66,850","75,210","76,005","77,877",
1008,1008,Zip Code,"65,964","68,133","68,559",0,"65,396","65,476","70,429","84,110","81,352","73,016","71,250",
1010,1010,Zip Code,"60,802","61,054","62,172",0,"61,071","60,714","70,478","72,440","72,210","77,097","78,286",
1011,1011,Zip Code,"54,262","56,500","56,343",0,"52,813","53,078","56,383","62,614","67,969","67,500","67,151",
1012,1012,Zip Code,"56,923","57,188","58,929",0,"61,538","60,969","57,065","57,708","65,493","68,116","67,500",
1013,1013,Zip Code,"37,383","37,661","37,538",0,"37,111","37,052","36,303","38,623","41,765","42,052","42,709",
1020,1020,Zip Code,"43,585","43,974","44,380",0,"44,483","44,409","46,853","50,794","53,559","53,487","53,121",
